t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
13.65,142.367355347,159.995391846,173.0,235.0,116.0,116.0,-189.455093384,-429.733154297,3064.03955078,141.046875,-1247.72302246,3094.03955078,-468.132049561,42.5574951172,3034.03955078
13.681,140.996246338,160.20954895,173.0,235.0,116.0,116.0,-204.776824951,-433.282043457,3072.88989258,141.450332642,-1251.29211426,3102.88989258,-469.497619629,42.6816368103,3042.88989258
13.712,140.76361084,160.800460815,173.0,235.0,116.0,116.0,-207.17590332,-439.42086792,3071.29199219,141.377487183,-1250.64770508,3101.29199219,-469.251068115,42.6592254639,3041.29199219
13.759,140.582427979,161.030029297,171.0,235.0,116.0,116.0,-209.393249512,-442.455566406,3075.19946289,119.777946472,-1252.22338867,3105.19946289,-469.853973389,42.7140350342,3045.19946289
13.79,140.070877075,160.581268311,171.0,235.0,116.0,114.0,-215.641021729,-439.10546875,3085.66455078,120.181610107,-1256.44372559,3115.66455078,-471.468658447,64.2911987305,3055.66455078
13.822,139.947937012,160.676269531,171.0,235.0,118.0,116.0,-217.403778076,-441.010803223,3091.81591797,120.418891907,-1258.92443848,3121.81591797,-450.944244385,42.9471054077,3061.81591797
13.853,139.905105591,160.307601929,171.0,235.0,118.0,116.0,-218.055221558,-437.388793945,3094.46972656,120.521263123,-1259.99462891,3124.46972656,-451.335113525,42.9843330383,3064.46972656
13.9,139.52973938,159.387771606,171.0,235.0,118.0,116.0,-222.631072998,-428.374603271,3101.47143555,120.791343689,-1262.81811523,3131.47143555,-452.36630249,43.0825424194,3071.47143555
13.931,139.016845703,158.372299194,171.0,235.0,118.0,116.0,-228.321838379,-417.536682129,3103.00390625,120.850448608,-1263.43603516,3133.00390625,-452.592010498,43.1040382385,3073.00390625
13.962,138.97756958,158.050567627,171.0,235.0,118.0,114.0,-229.673522949,-415.708526611,3115.54003906,121.334007263,-1268.49157715,3145.54003906,-454.438323975,64.9197769165,3085.54003906
13.993,139.335128784,157.56477356,169.0,235.0,118.0,116.0,-226.99105835,-412.626220703,3132.43164062,99.8063049316,-1275.30334473,3162.43164062,-456.926116943,43.5168113708,3102.43164062
14.025,139.451812744,158.025802612,169.0,235.0,120.0,116.0,-226.859313965,-419.818481445,3148.39160156,100.310005188,-1281.73937988,3178.39160156,-437.406402588,43.7406768799,3118.39160156
14.056,139.25302124,157.69329834,169.0,235.0,120.0,114.0,-230.010101318,-417.884307861,3161.53076172,100.72467041,-1287.03808594,3191.53076172,-439.249389648,65.8874206543,3131.53076172
14.087,139.324829102,157.376281738,167.0,235.0,120.0,114.0,-230.495147705,-416.685882568,3179.203125,78.7753295898,-1294.16479492,3209.203125,-441.728240967,66.2592468262,3149.203125
14.118,139.746643066,157.072891235,167.0,235.0,122.0,114.0,-227.011825562,-415.535217285,3196.36865234,79.196685791,-1301.08703613,3226.36865234,-421.929199219,66.6204071045,3166.36865234
14.15,139.796524048,157.340255737,167.0,235.0,120.0,114.0,-227.261291504,-420.026550293,3207.78320312,79.4768753052,-1305.69006348,3237.78320312,-445.737060547,66.8605728149,3177.78320312
14.181,139.933517456,157.235687256,167.0,235.0,120.0,114.0,-226.596755981,-420.476409912,3220.23730469,79.782585144,-1310.71240234,3250.23730469,-447.483978271,67.1226119995,3190.23730469
14.228,140.122924805,156.794952393,167.0,235.0,122.0,114.0,-225.961364746,-418.282836914,3241.80786133,80.3120727539,-1319.41113281,3271.80786133,-427.984130859,67.5764541626,3211.80786133
14.259,140.962219238,155.959869385,167.0,235.0,122.0,114.0,-218.457962036,-412.63848877,3272.33105469,81.0613098145,-1331.72009277,3302.33105469,-432.051452637,68.2186584473,3242.33105469
14.29,140.85824585,155.791717529,167.0,235.0,122.0,114.0,-221.801177979,-414.729003906,3304.36035156,81.8475189209,-1344.63635254,3334.36035156,-436.319488525,68.8925628662,3274.36035156
14.322,140.830886841,155.182739258,167.0,235.0,124.0,114.0,-224.671600342,-412.359344482,3342.34863281,82.7800140381,-1359.95581055,3372.34863281,-418.150939941,69.6918334961,3312.34863281
14.368,140.446029663,154.833557129,165.0,235.0,122.0,114.0,-230.77722168,-411.107910156,3365.6081543,59.5363311768,-1369.33557129,3395.6081543,-444.480926514,70.1812133789,3335.6081543
14.4,140.906921387,154.240203857,165.0,235.0,124.0,112.0,-227.635223389,-408.225128174,3399.92138672,60.1379585266,-1383.17297363,3429.92138672,-425.418945312,94.5375213623,3369.92138672
14.431,141.026885986,153.884674072,165.0,235.0,124.0,112.0,-227.334884644,-406.004516602,3416.90698242,60.4357719421,-1390.02270508,3446.90698242,-427.563201904,95.0140304565,3386.90698242
14.462,140.937652588,153.430175781,165.0,235.0,124.0,112.0,-230.543930054,-404.311157227,3448.91601562,60.9969978333,-1402.93103027,3478.91601562,-431.604003906,95.9119873047,3418.91601562
14.493,140.964172363,153.217391968,165.0,235.0,126.0,112.0,-231.806396484,-404.500610352,3472.63476562,61.4128646851,-1412.49597168,3502.63476562,-410.453826904,96.5773773193,3442.63476562
14.525,141.028839111,152.472412109,165.0,235.0,124.0,110.0,-232.239990234,-397.518737793,3490.99072266,61.7347068787,-1419.89831543,3520.99072266,-436.915557861,121.365379333,3460.99072266
14.556,141.137069702,151.76109314,163.0,235.0,126.0,110.0,-232.242919922,-391.046691895,3511.06396484,37.2518997192,-1427.99316406,3541.06396484,-415.035614014,122.069282532,3481.06396484
14.587,141.505615234,150.118591309,163.0,235.0,124.0,110.0,-230.086044312,-374.70111084,3547.7734375,37.6380844116,-1442.796875,3577.7734375,-444.083770752,123.356552124,3517.7734375
14.65,141.559020996,149.79069519,163.0,235.0,126.0,108.0,-230.663803101,-372.628479004,3566.98242188,37.8401641846,-1450.54321289,3596.98242188,-421.702606201,148.836257935,3536.98242188
14.681,141.104675293,149.545837402,163.0,235.0,124.0,108.0,-237.984588623,-372.126678467,3591.69970703,38.1001853943,-1460.51086426,3621.69970703,-449.62902832,149.876358032,3561.69970703
14.712,141.111297607,148.76890564,163.0,235.0,124.0,108.0,-238.999603271,-364.014251709,3608.28222656,38.2746353149,-1467.19799805,3638.28222656,-451.722412109,150.574157715,3578.28222656
14.744,140.983734131,148.542144775,163.0,233.0,124.0,108.0,-241.039810181,-361.784606934,3614.67260742,38.3418617249,-1444.21374512,3644.67260742,-452.529144287,150.843063354,3584.67260742
14.775,141.122314453,148.171737671,161.0,231.0,124.0,106.0,-240.205749512,-358.466125488,3628.6081543,12.8295688629,-1424.07653809,3658.6081543,-454.288360596,176.667678833,3598.6081543
14.806,141.072769165,148.105010986,163.0,229.0,124.0,106.0,-241.743453979,-358.964355469,3642.27905273,38.6322784424,-1403.64294434,3672.27905273,-456.014190674,177.33883667,3612.27905273
14.837,141.117355347,147.655349731,161.0,227.0,124.0,110.0,-241.917663574,-354.31036377,3653.50927734,12.916888237,-1382.10180664,3683.50927734,-457.431884766,127.064369202,3623.50927734
14.869,140.93069458,147.615692139,163.0,227.0,124.0,106.0,-244.750259399,-354.441192627,3660.10693359,38.8198280334,-1384.57727051,3690.10693359,-458.264770508,178.214065552,3630.10693359
14.9,140.880096436,147.56640625,163.0,225.0,124.0,108.0,-245.968704224,-354.628814697,3668.5925293,38.9090957642,-1361.82177734,3698.5925293,-459.335998535,153.112014771,3638.5925293
14.931,141.578735352,147.595016479,163.0,225.0,126.0,108.0,-237.831497192,-356.271026611,3681.75927734,39.0476074219,-1366.6697998,3711.75927734,-435.387054443,153.66607666,3651.75927734
14.962,141.535110474,147.120910645,163.0,225.0,124.0,108.0,-238.908660889,-350.904968262,3689.6965332,39.131111145,-1369.59228516,3719.6965332,-462.000152588,154.000061035,3659.6965332
14.994,141.554534912,147.167663574,163.0,225.0,126.0,108.0,-239.020599365,-352.044799805,3695.31201172,39.1901855469,-1371.65991211,3725.31201172,-437.00289917,154.236358643,3665.31201172
15.025,141.849884033,146.743927002,161.0,225.0,124.0,108.0,-236.618423462,-348.653717041,3717.70166016,13.1419916153,-1379.90380859,3747.70166016,-465.535522461,155.178527832,3687.70166016
15.072,142.366882324,145.788299561,161.0,225.0,124.0,110.0,-230.256652832,-336.748535156,3723.81835938,13.1634407043,-1382.15588379,3753.81835938,-466.307678223,129.52986145,3693.81835938
15.087,142.721359253,145.300292969,161.0,225.0,126.0,110.0,-226.29473877,-331.352600098,3734.82568359,13.2020397186,-1386.20874023,3764.82568359,-441.713989258,129.915863037,3704.82568359
15.119,142.792724609,144.733932495,161.0,225.0,126.0,110.0,-225.738693237,-324.479522705,3741.10205078,13.2240486145,-1388.51977539,3771.10205078,-442.462280273,130.135940552,3711.10205078
15.167,142.934524536,144.464813232,161.0,225.0,124.0,110.0,-224.504257202,-321.846069336,3751.55810547,13.2607145309,-1392.36962891,3781.55810547,-469.809539795,130.502609253,3721.55810547
15.212,143.572052002,144.445800781,161.0,225.0,124.0,110.0,-216.538330078,-322.222137451,3758.86523438,13.2863388062,-1395.06018066,3788.86523438,-470.731994629,130.758850098,3728.86523438
15.244,143.810897827,143.588409424,161.0,225.0,124.0,108.0,-214.228942871,-312.143310547,3773.64282227,13.3381586075,-1400.50134277,3803.64282227,-472.59753418,157.532531738,3743.64282227
15.275,144.267456055,143.512939453,161.0,225.0,124.0,108.0,-209.208862305,-312.671203613,3792.15917969,13.4030895233,-1407.31896973,3822.15917969,-474.935028076,158.311691284,3762.15917969
15.306,142.517593384,143.174194336,163.0,225.0,124.0,108.0,-233.484924316,-309.501159668,3808.58081055,40.3817672729,-1413.36547852,3838.58081055,-477.008117676,159.002731323,3778.58081055
15.337,142.598602295,143.616989136,163.0,225.0,124.0,108.0,-233.257232666,-316.574279785,3822.58105469,40.5290489197,-1418.52026367,3852.58105469,-478.775482178,159.59185791,3792.58105469
15.369,143.160049438,144.137039185,165.0,225.0,124.0,108.0,-226.535491943,-324.697753906,3836.19750977,67.7873306274,-1423.53393555,3866.19750977,-480.494445801,160.164825439,3806.19750977
15.4,143.737838745,145.159103394,165.0,225.0,124.0,108.0,-220.494384766,-341.125549316,3866.55908203,68.3196716309,-1434.71313477,3896.55908203,-484.327301025,161.442443848,3836.55908203
15.431,143.96182251,145.717834473,165.0,225.0,126.0,108.0,-218.480926514,-350.342529297,3884.75927734,68.6387786865,-1441.41430664,3914.75927734,-459.590057373,162.208312988,3854.75927734
15.462,144.222183228,145.943588257,163.0,225.0,120.0,108.0,-216.865280151,-356.593200684,3919.66162109,41.5503387451,-1454.26538086,3949.66162109,-545.589904785,163.677001953,3889.66162109
15.494,144.594924927,144.835845947,165.0,223.0,126.0,108.0,-214.449752808,-345.732727051,3969.78540039,70.1295700073,-1444.66918945,3999.78540039,-469.72744751,165.786209106,3939.78540039
15.525,144.746231079,143.816604614,163.0,223.0,124.0,108.0,-214.626342773,-335.108673096,4012.46630859,42.526638031,-1460.08496094,4042.46630859,-502.746612549,167.582229614,3982.46630859
15.572,145.079299927,143.438354492,163.0,219.0,126.0,108.0,-211.528015137,-332.281280518,4042.81884766,42.8459472656,-1413.9197998,4072.81884766,-478.434997559,168.859451294,4012.81884766
15.619,145.78793335,142.195297241,163.0,219.0,126.0,106.0,-204.35333252,-319.143127441,4100.43701172,43.4520874023,-1433.92260742,4130.43701172,-485.304595947,199.831329346,4070.43701172
15.65,146.084350586,141.761108398,163.0,217.0,126.0,108.0,-201.121582031,-314.511230469,4121.55175781,43.6742172241,-1412.13635254,4151.55175781,-487.822052002,172.172546387,4091.55175781
15.681,145.730392456,142.236740112,163.0,213.0,128.0,106.0,-207.62713623,-323.551239014,4149.32470703,43.9663848877,-1362.96130371,4179.32470703,-462.243133545,202.231399536,4119.32470703
15.712,145.927337646,142.434204102,163.0,211.0,128.0,106.0,-206.345870972,-328.950195312,4181.43261719,44.3041572571,-1343.89624023,4211.43261719,-465.846099854,203.807678223,4151.43261719
15.744,145.812149048,141.657012939,163.0,207.0,128.0,106.0,-209.745330811,-320.165130615,4215.81005859,44.6658096313,-1295.31176758,4245.81005859,-469.703704834,205.495376587,4185.81005859
15.775,146.1197052,140.503570557,167.0,205.0,128.0,104.0,-206.455200195,-304.96975708,4241.62988281,104.854400635,-1273.23059082,4271.62988281,-472.601013184,236.300491333,4211.62988281
15.806,146.218231201,139.767227173,163.0,203.0,126.0,106.0,-205.90322876,-295.327484131,4260.53125,45.1362762451,-1248.77355957,4290.53125,-504.392089844,207.690887451,4230.53125
15.837,146.411315918,139.327362061,167.0,203.0,128.0,104.0,-204.138534546,-290.348693848,4284.03417969,105.895278931,-1255.61413574,4314.03417969,-477.359344482,238.679672241,4254.03417969
15.884,147.24079895,138.874176025,163.0,203.0,130.0,104.0,-195.428863525,-289.090270996,4367.88134766,46.2655982971,-1280.01806641,4397.88134766,-456.345153809,243.384048462,4337.88134766
15.962,147.12121582,137.642150879,163.0,203.0,130.0,102.0,-198.441864014,-271.838043213,4394.04199219,46.5408058167,-1287.63232422,4424.04199219,-459.097229004,275.458282471,4364.04199219
15.994,146.822906494,136.91619873,163.0,201.0,130.0,104.0,-203.88381958,-261.737487793,4412.33886719,46.7332878113,-1261.80187988,4442.33886719,-461.022064209,245.878417969,4382.33886719
16.04,146.665679932,136.216278076,163.0,201.0,130.0,104.0,-206.98664856,-251.722717285,4426.66796875,46.8840293884,-1265.87194824,4456.66796875,-462.52947998,246.682373047,4396.66796875
16.072,147.407089233,136.310302734,163.0,201.0,130.0,104.0,-197.34375,-255.5990448,4468.921875,47.3285369873,-1277.87365723,4498.921875,-466.974609375,249.053085327,4438.921875
16.103,147.535018921,136.385543823,165.0,201.0,130.0,104.0,-196.454620361,-258.244903564,4494.44726562,79.3286437988,-1285.12390137,4524.44726562,-469.659881592,250.485229492,4464.44726562
16.134,147.253677368,136.589904785,163.0,199.0,130.0,104.0,-201.94329834,-262.838165283,4518.03808594,47.8452415466,-1259.92785645,4548.03808594,-472.14163208,251.808837891,4488.03808594
16.181,147.071151733,136.489852905,165.0,199.0,130.0,102.0,-206.664138794,-263.585906982,4558.3828125,80.4496459961,-1271.10437012,4588.3828125,-476.385894775,285.831481934,4528.3828125
16.212,147.202850342,136.305221558,163.0,197.0,130.0,104.0,-205.780517578,-262.191009521,4585.60351562,48.5560264587,-1246.27453613,4615.60351562,-479.249511719,255.599716187,4555.60351562
16.244,147.903808594,136.237045288,165.0,195.0,130.0,104.0,-196.068756104,-263.188354492,4622.37646484,81.5716705322,-1223.57507324,4652.37646484,-483.118011475,257.66293335,4592.37646484
16.275,147.804733276,136.156295776,163.0,193.0,132.0,104.0,-198.656616211,-263.180114746,4645.33398438,49.1843910217,-1196.82324219,4675.33398438,-453.164337158,258.95098877,4615.33398438
16.306,147.675384521,136.068389893,163.0,193.0,132.0,102.0,-201.301681519,-262.450042725,4657.78759766,49.3154029846,-1200.0111084,4687.78759766,-454.387115479,292.105895996,4627.78759766
16.337,147.659317017,135.808410645,163.0,191.0,132.0,102.0,-202.312103271,-259.161743164,4675.0703125,49.497215271,-1171.43713379,4705.0703125,-456.08404541,293.196777344,4645.0703125
16.369,148.317962646,134.89175415,159.0,189.0,130.0,102.0,-192.262512207,-245.087783813,4693.33349609,-16.5632190704,-1142.85791016,4723.33349609,-490.582672119,294.349578857,4663.33349609
16.4,148.143188477,134.544494629,159.0,189.0,132.0,104.0,-195.894714355,-240.300003052,4711.51416016,-16.6269741058,-1147.25683594,4741.51416016,-459.66229248,262.664123535,4681.51416016
16.431,147.966552734,134.259719849,159.0,189.0,132.0,104.0,-199.441741943,-236.339630127,4726.40820312,-16.6792030334,-1150.86071777,4756.40820312,-461.124725342,263.499816895,4696.40820312
16.462,147.49446106,133.604141235,159.0,189.0,130.0,102.0,-208.801177979,-227.144088745,4761.41357422,-16.8019542694,-1159.33056641,4791.41357422,-497.744720459,298.646759033,4731.41357422
16.494,147.753356934,133.688018799,159.0,189.0,130.0,102.0,-205.495742798,-229.681640625,4785.10449219,-16.8850326538,-1165.06274414,4815.10449219,-500.236999512,300.142150879,4755.10449219
16.54,147.327148438,133.846038818,157.0,189.0,130.0,102.0,-213.845550537,-233.642242432,4812.06494141,-50.9385566711,-1171.58605957,4842.06494141,-503.073272705,301.843902588,4782.06494141
16.587,146.594329834,134.277481079,157.0,189.0,130.0,102.0,-226.806610107,-241.556564331,4824.72900391,-51.0717849731,-1174.65039062,4854.72900391,-504.405517578,302.643249512,4794.72900391
16.634,146.471603394,134.406936646,157.0,189.0,130.0,102.0,-229.270996094,-244.160064697,4832.90625,-51.1578063965,-1176.62890625,4862.90625,-505.26574707,303.159393311,4802.90625
16.65,145.932525635,134.936843872,157.0,189.0,130.0,102.0,-239.147521973,-253.926742554,4847.91796875,-51.3157310486,-1180.2611084,4877.91796875,-506.845001221,304.106933594,4817.91796875
16.681,145.7631073,134.979614258,157.0,187.0,130.0,102.0,-242.35609436,-254.99937439,4854.49511719,-51.3849220276,-1147.5958252,4884.49511719,-507.536895752,304.522064209,4824.49511719
16.712,146.145294189,134.253631592,157.0,187.0,130.0,102.0,-236.690628052,-243.50579834,4871.79882812,-51.5669555664,-1151.66113281,4901.79882812,-509.357269287,305.61428833,4841.79882812
16.744,145.750549316,133.838180542,159.0,185.0,130.0,102.0,-244.701080322,-237.638458252,4897.14648438,-17.2779273987,-1123.06091309,4927.14648438,-512.023803711,307.214233398,4867.14648438
16.775,145.817901611,133.489425659,157.0,185.0,126.0,102.0,-244.150421143,-232.225891113,4909.33349609,-51.9618263245,-1125.83874512,4939.33349609,-581.746643066,307.98348999,4879.33349609
17.244,160.092926025,168.43119812,179.0,235.0,130.0,108.0,0.842010498047,-438.851196289,2584.03027344,174.164108276,-1054.15136719,2614.03027344,-268.683990479,107.473617554,2554.03027344
17.275,158.11895752,166.27947998,179.0,235.0,128.0,108.0,-16.9664802551,-417.427307129,2572.16015625,173.37322998,-1049.36450195,2602.16015625,-285.264251709,106.974128723,2542.16015625
17.306,158.358688354,166.066513062,179.0,235.0,124.0,110.0,-14.7846755981,-414.959320068,2568.77294922,173.14755249,-1047.99865723,2598.77294922,-320.494750977,89.0262832642,2538.77294922
17.337,157.859069824,164.595214844,179.0,235.0,124.0,108.0,-19.111623764,-398.091430664,2545.65795898,171.607467651,-1038.67700195,2575.65795898,-317.576690674,105.858909607,2515.65795898
17.369,157.178878784,164.465179443,179.0,235.0,122.0,108.0,-25.187002182,-396.986022949,2546.01342773,171.631149292,-1038.82043457,2576.01342773,-335.267211914,105.87387085,2516.01342773
17.4,158.023925781,164.272735596,179.0,235.0,120.0,108.0,-17.5919761658,-394.13684082,2538.72851562,171.145782471,-1035.88256836,2568.72851562,-351.890991211,105.567321777,2508.72851562
17.462,154.486419678,163.786987305,179.0,235.0,120.0,108.0,-48.7397537231,-387.074768066,2520.89794922,169.957794189,-1028.69213867,2550.89794922,-349.389953613,104.817008972,2490.89794922
17.494,147.322784424,166.479324341,179.0,235.0,120.0,108.0,-108.990379333,-399.598480225,2451.71289062,165.348220825,-1000.79217529,2481.71289062,-339.68560791,101.905700684,2421.71289062
17.525,148.568115234,169.831878662,181.0,235.0,120.0,108.0,-99.0358428955,-431.699768066,2470.47265625,184.134857178,-1008.3572998,2500.47265625,-342.316986084,102.695114136,2440.47265625
17.556,149.463394165,170.319885254,183.0,235.0,118.0,108.0,-90.8079986572,-433.673461914,2457.69921875,200.641189575,-1003.20617676,2487.69921875,-357.551513672,102.157608032,2427.69921875
17.587,149.626815796,171.24029541,185.0,235.0,118.0,108.0,-89.0043640137,-439.653594971,2446.83422852,217.135803223,-998.824707031,2476.83422852,-355.951324463,101.700408936,2416.83422852
17.619,149.616699219,171.850189209,187.0,235.0,118.0,108.0,-88.9164123535,-444.013916016,2442.03442383,234.05229187,-996.889160156,2472.03442383,-355.244415283,101.498435974,2412.03442383
17.65,149.688552856,172.525405884,189.0,235.0,118.0,108.0,-88.1125488281,-448.836120605,2436.82226562,250.859359741,-994.787231445,2466.82226562,-354.476776123,101.27910614,2406.82226562
17.681,149.976074219,172.993591309,189.0,235.0,118.0,108.0,-85.4120635986,-451.548400879,2429.88964844,250.15435791,-991.991516113,2459.88964844,-353.455749512,100.987380981,2399.88964844
17.712,149.89881897,173.706054688,189.0,235.0,118.0,108.0,-85.8699569702,-456.553833008,2424.23291016,249.579101562,-989.710388184,2454.23291016,-352.622619629,100.749351501,2394.23291016
17.759,150.086608887,174.432189941,191.0,235.0,118.0,110.0,-83.8223648071,-460.249572754,2411.25463867,265.38067627,-984.47668457,2441.25463867,-350.711151123,83.5026397705,2381.25463867
17.791,150.819000244,176.076629639,191.0,235.0,120.0,110.0,-76.8963699341,-469.675415039,2388.47949219,262.904876709,-975.292236328,2418.47949219,-330.816070557,82.703994751,2358.47949219
